date,return
2006/7/7,-2.413667831
2006/7/10,1.524328733
2006/7/11,1.010393344
2006/7/12,-0.483493496
2006/7/13,-3.872824655
2006/7/14,1.594889832
2006/7/17,0.406495005
2006/7/18,-0.607526717
2006/7/19,-2.478949639
2006/7/20,0.900339094
2006/7/21,1.579284349
2006/7/24,-0.030254713
2006/7/25,-0.037765616
2006/7/26,0.168536426
2006/7/27,-1.399839222
2006/7/28,-0.817003549
2006/7/31,-2.239806568
2006/8/1,-0.817034625
2006/8/2,0.120435796
2006/8/3,1.302311997
2006/8/4,-1.315659233
2006/8/7,-1.08046341
2006/8/8,1.822119978
2006/8/9,0.044848633
2006/8/10,1.696565828
2006/8/11,-0.012504792
2006/8/14,-0.254620873
2006/8/15,1.583886949
2006/8/16,1.581683806
2006/8/17,-0.853953573
2006/8/18,-0.712287915
2006/8/21,0.399399386
2006/8/22,1.644120822
2006/8/23,1.431291172
2006/8/24,1.307176086
2006/8/25,-1.204351564
2006/8/28,1.771239176
2006/8/29,-0.670310474
2006/8/30,0.009574086
2006/8/31,0.763149026
2006/9/1,-1.851611449
2006/9/4,1.308406962
2006/9/5,2.619686195
2006/9/6,0.339035582
2006/9/7,-0.308332496
2006/9/8,1.325726823
2006/9/11,2.827529629
2006/9/12,-0.019505013
2006/9/13,1.28092342
2006/9/14,0.808037
2006/9/15,0.520865976
2006/9/18,-1.51792721
2006/9/19,2.067343686
2006/9/20,0.613767613
2006/9/21,2.382385912
2006/9/22,-2.434286301
2006/9/25,0.269547833
2006/9/26,-2.420755589
2006/9/27,3.2968578
2006/9/28,1.509270449
2006/9/29,1.964103341
2006/10/9,6.265080789
2006/10/10,-0.558272905
2006/10/11,-0.47356376
2006/10/12,-0.339219944
2006/10/13,1.173490321
2006/10/16,-0.777670733
2006/10/17,-2.258307783
2006/10/18,3.279967177
2006/10/19,-0.748169841
2006/10/20,2.57647178
2006/10/23,-2.590278373
2006/10/24,2.828663443
2006/10/25,1.083019057
2006/10/26,1.964172248
2006/10/27,-2.142858392
2006/10/30,-1.448612446
2006/10/31,1.805751424
2006/11/1,0.27536962
2006/11/2,-2.208043777
2006/11/3,2.226189247
2006/11/6,1.784474199
2006/11/7,3.584080378
2006/11/8,-1.568272535
2006/11/9,4.75097213
2006/11/10,2.134427023
2006/11/13,-0.62798696
2006/11/14,1.687849755
2006/11/15,1.575130443
2006/11/16,1.39150969
2006/11/17,0.037173754
2006/11/20,4.142406769
2006/11/21,1.017718694
2006/11/22,1.473282128
2006/11/23,1.17224069
2006/11/24,-2.229968725
2006/11/27,-2.696993687
2006/11/28,-0.614757644
2006/11/29,0.829241671
2006/11/30,2.57164457
2006/12/1,-1.281340278
2006/12/4,5.535570407
2006/12/5,-0.383994925
2006/12/6,-0.734264888
2006/12/7,0.345541736
2006/12/8,-1.30094106
2006/12/11,4.465721184
2006/12/12,3.141600032
2006/12/13,-1.596125693
2006/12/14,0.287514831
2006/12/15,1.526674425
2006/12/18,3.922497172
2006/12/19,-0.091665223
2006/12/20,-0.293819603
2006/12/21,-0.962885911
2006/12/22,1.341284212
2006/12/25,4.927104211
2006/12/26,0.622634781
2006/12/27,3.889061021
2006/12/28,0.995798795
2006/12/29,5.001328196
2007/1/4,-0.755824576
2007/1/5,-6.480708429
2007/1/8,2.242092563
2007/1/9,4.083654629
2007/1/10,1.074486669
2007/1/11,-2.616996636
2007/1/12,-1.568993986
2007/1/15,3.860362205
2007/1/16,2.167128136
2007/1/17,-1.497257263
2007/1/18,-4.766440327
2007/1/19,3.150632103
2007/1/22,4.068954536
2007/1/23,6.762804098
2007/1/24,-1.225723053
2007/1/25,-1.037611411
2007/1/26,6.498724323
2007/1/29,3.599656671
2007/1/30,-2.513169424
2007/1/31,-6.712684948
2007/2/1,-0.665427429
2007/2/2,-5.429270861
2007/2/5,-4.828730598
2007/2/6,6.584299029
2007/2/7,2.288120311
2007/2/8,-0.847023043
2007/2/9,-3.022630617
2007/2/12,5.164204804
2007/2/13,1.006908406
2007/2/14,3.066028183
2007/2/15,2.272801584
2007/2/16,-0.415154158
2007/2/26,-3.690324665
2007/2/27,-9.286064419
2007/2/28,2.507650653
2007/3/1,-2.242708167
2007/3/2,0.462316842
2007/3/5,-3.11044209
2007/3/6,5.208743377
2007/3/7,0.91839672
2007/3/8,0.280247529
2007/3/9,1.38301527
2007/3/12,-1.494069913
2007/3/13,-0.759385044
2007/3/14,-2.748228567
2007/3/15,1.990919949
2007/3/16,-1.747491639
2007/3/19,6.383278698
2007/3/20,-0.731312776
2007/3/21,1.652050032
2007/3/22,0.214300781
2007/3/23,-1.415290392
2007/3/26,0.92989635
2007/3/27,-0.643983418
2007/3/28,3.718775113
2007/3/29,2.613180223
2007/3/30,-1.179077796
2007/4/2,2.171334259
2007/4/3,0.443910731
2007/4/4,-0.159401365
2007/4/5,-0.063001705
2007/4/6,-1.788020984
2007/4/9,0.893732262
2007/4/10,2.650175991
2007/4/11,3.058085098
2007/4/12,0.389637804
2007/4/13,-1.324148165
2007/4/16,3.3868494
2007/4/17,-1.598659722
2007/4/18,-1.878183344
2007/4/19,-3.967779385
2007/4/20,2.800685449
2007/4/23,2.632933779
2007/4/24,-1.259598366
2007/4/25,4.135669933
2007/4/26,0.223527742
2007/4/27,-2.062440783
2007/4/30,-0.428458752
2007/5/8,2.29528434
2007/5/9,4.652803538
2007/5/10,-0.569956185
2007/5/11,0.84673163
2007/5/14,1.515311568
2007/5/15,-5.429903717
2007/5/16,1.083093529
2007/5/17,0.533811883
2007/5/18,-1.619417895
2007/5/21,-1.069838644
2007/5/22,0.460329441
2007/5/23,1.080386126
2007/5/24,1.104626873
2007/5/25,-0.120031646
2007/5/28,0.742317228
2007/5/29,0.797687255
2007/5/30,-5.792693291
2007/5/31,6.540430546
2007/6/1,-0.232842721
2007/6/4,-6.502438502
2007/6/5,1.908067837
2007/6/6,-0.726348649
2007/6/7,1.349181536
2007/6/8,-1.063530785
2007/6/11,2.247449819
2007/6/12,-0.132544066
2007/6/13,3.372199424
2007/6/14,-1.507981052
2007/6/15,1.518845095
2007/6/18,3.542626491
2007/6/19,0.00527078
2007/6/20,-2.669487835
2007/6/21,2.702022103
2007/6/22,0.056050472
2007/6/25,0.433638912
2007/6/26,-0.504035825
2007/6/27,2.178716559
2007/6/28,-2.875192878
2007/6/29,-1.830445042
2007/7/2,-1.113105966
2007/7/3,1.250878692
2007/7/4,-2.903384711
2007/7/5,-2.641979254
2007/7/6,3.295613947
2007/7/9,3.519608618
2007/7/10,2.629180931
2007/7/11,0.276320733
2007/7/12,1.537777445
2007/7/13,-1.234036653
2007/7/16,-3.720648862
2007/7/17,5.238228052
2007/7/18,0.675662722
2007/7/19,0.333563961
2007/7/20,5.81039728
2007/7/23,2.276529403
2007/7/24,0.545566523
2007/7/25,2.711711443
2007/7/26,-1.135142626
2007/7/27,-2.160358997
2007/7/30,1.10443245
2007/7/31,0.358231367
2007/8/1,-2.252521657
2007/8/2,3.202525771
2007/8/3,6.450131494
2007/8/6,0.904527839
2007/8/7,-1.263020741
2007/8/8,1.808765442
2007/8/9,2.831870189
2007/8/10,-0.7545815
2007/8/13,1.383027972
2007/8/14,0.151525499
2007/8/15,1.557414813
2007/8/16,-3.361804981
2007/8/17,-4.67013519
2007/8/20,7.301719618
2007/8/21,2.380113877
2007/8/22,1.247620838
2007/8/23,1.00987427
2007/8/24,3.957680963
2007/8/27,-0.049480616
2007/8/28,-1.295356902
2007/8/29,-1.682264976
2007/8/30,1.488435533
2007/8/31,1.17276972
2007/9/3,0.859291217
2007/9/4,-2.221786547
2007/9/5,-1.16778695
2007/9/6,1.696907851
2007/9/7,-1.751777729
2007/9/10,1.642214002
2007/9/11,-5.258669952
2007/9/12,-0.890616851
2007/9/13,2.621272337
2007/9/14,-0.735917732
2007/9/17,1.153615382
2007/9/18,-1.641996613
2007/9/19,-0.472396029
2007/9/20,0.051000581
2007/9/21,-0.850026792
2007/9/24,2.274207327
2007/9/25,-1.991201324
2007/9/26,-0.645468186
2007/9/27,1.838061142
2007/9/28,2.632534972
2007/10/8,5.077120726
2007/10/9,0.419508102
2007/10/10,0.141911333
2007/10/11,3.838903639
2007/10/12,-1.860434094
2007/10/15,-0.964554692
2007/10/16,2.720916542
2007/10/17,-2.170822774
2007/10/18,-4.06734886
2007/10/19,-0.206705268
2007/10/22,-0.694824806
2007/10/23,3.233914862
2007/10/24,1.71425173
2007/10/25,-2.09596138
2007/10/26,3.989256794
2007/10/29,2.250376263
2007/10/30,1.102100954
2007/10/31,1.716288036
2007/11/1,0.149068028
2007/11/2,-3.180091839
2007/11/5,-2.915207228
2007/11/6,-0.315276579
2007/11/7,2.945579814
2007/11/8,-4.246729194
2007/11/9,0.88226725
2007/11/12,-0.079422489
2007/11/13,-3.837980875
2007/11/14,2.996947837
2007/11/15,-0.283430311
2007/11/16,-2.42125798
2007/11/19,-2.373061749
2007/11/20,0.860369572
2007/11/21,-1.78982258
2007/11/22,-3.598610379
2007/11/23,2.426982991
2007/11/26,-0.915560308
2007/11/27,-1.28668634
2007/11/28,-0.701077917
2007/11/29,5.864501184
2007/11/30,-1.700532795
2007/12/3,1.853451305
2007/12/4,0.32641649
2007/12/5,2.023760453
2007/12/6,0.559402137
2007/12/7,0.322464868
2007/12/10,-1.10117759
2007/12/11,-1.86312418
2007/12/12,-3.704432208
2007/12/13,-2.002995553
2007/12/14,1.5567215
2007/12/17,-5.229391112
2007/12/18,0.212741495
2007/12/19,2.092309825
2007/12/20,2.038245212
2007/12/21,0.009966646
2007/12/24,2.069282806
2007/12/25,-0.95494306
2007/12/26,-0.659992431
2007/12/27,2.996792207
2007/12/28,0.268352456
2008/1/2,-0.090092969
2008/1/3,-2.008523975
2008/1/4,1.597275512
2008/1/7,2.056516557
2008/1/8,1.545353963
2008/1/9,0.90692385
2008/1/10,0.507637776
2008/1/11,4.816716546
2008/1/14,-0.853699771
2008/1/15,-1.971527001
2008/1/16,-4.981691017
2008/1/17,-0.467439685
2008/1/18,0.493091163
2008/1/21,-5.555633584
2008/1/22,-6.93538812
2008/1/23,3.472546031
2008/1/24,-0.788289723
2008/1/25,2.830707462
2008/1/28,-6.678276675
2008/1/29,-0.13824927
2008/1/30,-4.47000537
2008/1/31,-1.639296654
2008/2/1,2.02963493
2008/2/4,8.594166701
2008/2/5,-0.732356059
2008/2/13,-3.48364826
2008/2/14,1.244945761
2008/2/15,-2.616483204
2008/2/18,1.60979227
2008/2/19,2.254513252
2008/2/20,-5.64975148
2008/2/21,-2.859795438
2008/2/22,-4.863882062
2008/2/25,-1.960428356
2008/2/26,2.899670988
2008/2/27,3.070251103
2008/2/28,-0.416558641
2008/2/29,1.204142275
2008/3/3,1.510627794
2008/3/4,-5.059725816
2008/3/5,0.023894715
2008/3/6,2.103340624
2008/3/7,-1.358856945
2008/3/10,-5.638913224
2008/3/11,-0.314612223
2008/3/12,-3.838393882
2008/3/13,-0.092743889
2008/3/14,-2.310961808
2008/3/17,-1.631095517
2008/3/18,-1.959040924
2008/3/19,2.79153268
2008/3/20,3.072766185
2008/3/21,-1.057810796
2008/3/24,-5.025490825
2008/3/25,1.054232305
2008/3/26,1.278122424
2008/3/27,-2.25274413
2008/3/28,6.572349488
2008/3/31,-1.348447441
2008/4/1,-1.290621439
2008/4/2,3.155424116
2008/4/3,2.119758366
2008/4/7,2.12571879
2008/4/8,-0.631675681
2008/4/9,-6.151083847
2008/4/10,1.543981772
2008/4/11,1.311136783
2008/4/14,-7.989582103
2008/4/15,-0.063368514
2008/4/16,-1.705899377
2008/4/17,-2.009039223
2008/4/18,-0.931832507
2008/4/21,1.628764439
2008/4/22,3.963229657
2008/4/23,4.845245199
2008/4/24,9.112598778
2008/4/25,-2.588621778
2008/4/28,-1.394731917
2008/4/29,0.106811087
2008/4/30,5.002365575
2008/5/5,-0.111044577
2008/5/6,-2.818933739
2008/5/7,-4.818169285
2008/5/8,0.947191233
2008/5/9,-4.416683364
2008/5/12,1.649037542
2008/5/13,-2.53546903
2008/5/14,5.217545209
2008/5/15,-1.96445668
2008/5/16,0.696642037
2008/5/19,-0.970212933
2008/5/20,-4.813101498
2008/5/21,0.773133137
2008/5/22,-2.353804052
2008/5/23,0.339440053
2008/5/26,-2.946733627
2008/5/27,0.607362159
2008/5/28,3.492956662
2008/5/29,-3.003348722
2008/5/30,1.272766104
2008/6/2,0.462325471
2008/6/3,-0.418732874
2008/6/4,-1.851996537
2008/6/5,-0.24206081
2008/6/6,-0.241203195
2008/6/10,-10.08533396
2008/6/11,-4.172001806
2008/6/12,-2.053980786
2008/6/13,-0.782544845
2008/6/16,1.790441232
2008/6/17,-2.002124304
2008/6/18,4.557978961
2008/6/19,-7.431723691
2008/6/20,4.047177638
2008/6/23,-1.686104623
2008/6/24,2.238267826
2008/6/25,2.348226065
2008/6/26,-0.88931166
2008/6/27,-4.025740438
2008/6/30,-2.043287429
2008/7/1,-5.737855863
2008/7/2,-0.020289772
2008/7/3,0.966071817
2008/7/4,0.592529961
2008/7/7,5.758693518
2008/7/8,-0.035068624
2008/7/9,4.691438447
2008/7/10,-0.466392635
2008/7/11,-0.329132574
2008/7/14,0.750564308
2008/7/15,-5.680253446
2008/7/16,-3.771728807
2008/7/17,-0.099468528
2008/7/18,4.135474158
2008/7/21,2.806500948
2008/7/22,-0.422765362
2008/7/23,0.19525726
2008/7/24,4.328643434
2008/7/25,-0.782856621
2008/7/28,1.026198028
2008/7/29,-2.079026841
2008/7/30,-0.430260691
2008/7/31,-2.581900416
2008/8/1,3.273975716
2008/8/4,-1.798953161
2008/8/5,-1.178345269
2008/8/6,1.96045211
2008/8/7,-0.711152816
2008/8/8,-4.04384097
2008/8/11,-2.297616609
2008/8/12,-0.982691448
2008/8/13,-1.922303573
2008/8/14,-0.708840738
2008/8/15,1.115907119
2008/8/18,-4.091925072
2008/8/19,2.156061134
2008/8/20,8.075741319
2008/8/21,-3.869168474
2008/8/22,-1.583818687
2008/8/25,0.868866313
2008/8/26,-0.958587015
2008/8/27,0.342697042
2008/8/28,0.520653467
2008/8/29,1.635955089
2008/9/1,-5.057867766
2008/9/2,-2.210058428
2008/9/3,-2.534625324
2008/9/4,-0.040653878
2008/9/5,-2.936246711
2008/9/8,-0.669128651
2008/9/9,0.182865162
2008/9/10,-0.899995415
2008/9/11,-5.924005655
2008/9/12,-1.009795294
2008/9/16,-10.40611855
2008/9/17,-9.33822829
2008/9/18,2.449775873
2008/9/19,9.531924591
2008/9/22,9.550866653
2008/9/23,-4.671794732
2008/9/24,-1.453284327
2008/9/25,2.982324623
2008/9/26,-0.185524382
2008/10/6,-8.972467495
2008/10/7,0.396417158
2008/10/8,-6.074004894
2008/10/9,-0.331495802
2008/10/10,-3.851102842
2008/10/13,8.783645864
2008/10/14,-2.631189219
2008/10/15,1.523704644
2008/10/16,-4.619796142
2008/10/17,0.23014727
2008/10/20,3.736628257
2008/10/21,-1.546382428
2008/10/22,-2.185803795
2008/10/23,-3.419334774
2008/10/24,-5.494114808
2008/10/27,-7.46269704
2008/10/28,6.069556849
2008/10/29,-2.807343276
2008/10/30,3.032218791
2008/10/31,-2.38760255
2008/11/3,1.159876247
2008/11/4,0.155066385
2008/11/5,5.167191017
2008/11/6,-3.642700078
2008/11/7,3.429271742
2008/11/10,8.00186714
2008/11/11,-2.445932256
2008/11/12,1.478062171
2008/11/13,3.399652723
2008/11/14,1.620658819
2008/11/17,1.592039337
2008/11/18,-8.194344239
2008/11/19,6.160898906
2008/11/20,-2.006856278
2008/11/21,-1.843578967
2008/11/24,-4.706531891
2008/11/25,-0.633470271
2008/11/26,-0.267080461
2008/11/27,0.24250613
2008/11/28,-5.076535618
2008/12/1,1.120332087
2008/12/2,-0.710588054
2008/12/3,5.083148949
2008/12/4,2.346326943
2008/12/5,1.306539409
2008/12/8,5.301321461
2008/12/9,-3.517165411
2008/12/10,5.769520925
2008/12/11,-3.073533198
2008/12/12,-5.246539817
2008/12/15,0.36439424
2008/12/16,-0.598721941
2008/12/17,-0.62379808
2008/12/18,4.467790887
2008/12/19,-0.66625317
2008/12/22,-2.082114533
2008/12/23,-3.667263001
2008/12/24,-0.751917365
2008/12/25,-1.087604484
2008/12/26,0.367886348
2008/12/29,-0.898878019
2008/12/30,-1.029502833
2008/12/31,-0.168285511
2009/1/5,3.261550927
2009/1/6,3.249211443
2009/1/7,-1.443294271
2009/1/8,-3.599321022
2009/1/9,1.773868952
2009/1/12,0.388313444
2009/1/13,-1.971464861
2009/1/14,4.942411514
2009/1/15,-0.04427046
2009/1/16,2.663284356
2009/1/19,2.650524812
2009/1/20,1.294372559
2009/1/21,1.0997879
2009/1/22,0.11375414
2009/1/23,-0.778044815
2009/2/2,-0.513556033
2009/2/3,2.489956502
2009/2/4,4.632302213
2009/2/5,-1.385136909
2009/2/6,3.202123592
2009/2/9,0.877189089
2009/2/10,-0.774976986
2009/2/11,0.684502526
2009/2/12,-2.87434728
2009/2/13,2.530706294
2009/2/16,4.477784874
2009/2/17,-2.524815744
2009/2/18,-4.691493293
2009/2/19,-1.472770138
2009/2/20,0.88224083
2009/2/23,3.142913206
2009/2/24,-5.753667612
2009/2/25,3.303723031
2009/2/26,-3.2541192
2009/2/27,1.021910412
2009/3/2,-0.277515676
2009/3/3,-2.429365319
2009/3/4,7.288526594
2009/3/5,2.384457578
2009/3/6,-0.786748381
2009/3/9,-3.056713199
2009/3/10,0.784516101
2009/3/11,-0.980244878
2009/3/12,-0.91728048
2009/3/13,-0.00963847
2009/3/16,2.878239977
2009/3/17,3.119831785
2009/3/18,-0.981902955
2009/3/19,1.092471197
2009/3/20,-1.344831273
2009/3/23,2.132603357
2009/3/24,0.433881799
2009/3/25,-0.50259794
2009/3/26,4.548747534
2009/3/27,0.539416643
2009/3/30,-0.513963026
2009/3/31,0.242628932
2009/4/1,0.628912083
2009/4/2,1.791850612
2009/4/3,2.94331232
2009/4/7,-0.718115972
2009/4/8,-4.571547103
2009/4/9,1.555111429
2009/4/10,1.957788137
2009/4/13,0.797489473
2009/4/14,0.445783418
2009/4/15,-0.830431551
